player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
348,FW,Denmark,25-073,1997,1.3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
349,GK,Denmark,36-043,1986,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
350,MF,Australia,24-194,1998,1.3,1,1,1,0,0,0,2,0,2,5,0,5,2,3,1,0
351,MF,United States,27-147,1995,0.5,3,2,3,0,0,2,2,100,0,0,0,0,0,3,0,0
352,DF,Costa Rica,34-351,1988,2.5,7,4,6,1,0,3,4,75,1,2,1,1,5,12,14,0
353,MF,Netherlands,20-216,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
354,FW,Belgium,31-173,1991,3,1,1,1,0,0,0,2,0,2,2,0,2,0,1,3,0
355,FW,Ecuador,22-289,2000,0,,0,,,,,,,,,,,0,,,
356,DF,Mexico,23-337,1999,0.8,1,0,1,0,0,1,1,100,0,2,0,2,1,2,2,0
357,GK,Costa Rica,36-003,1986,3,1,0,1,0,0,1,1,100,0,0,0,0,1,2,2,1
358,DF,Costa Rica,28-160,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
359,FW,Wales,30-132,1992,2.5,1,0,1,0,0,0,0,,0,3,1,2,2,3,7,0
360,DF,England,32-090,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0
361,DF,Korea Republic,30-188,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0
362,DF,Korea Republic,26-033,1996,3,2,1,2,0,0,1,1,100,0,5,1,4,2,4,8,0
363,DF,Korea Republic,27-139,1995,4,9,4,6,2,1,5,6,83.3,1,3,1,2,4,13,16,0
364,GK,Korea Republic,32-079,1990,4,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
365,DF,Korea Republic,32-294,1990,3.9,3,2,3,0,0,1,2,50,1,3,2,1,3,6,11,0
366,FW,France,26-188,1996,1.9,3,2,1,2,0,1,2,50,1,3,0,3,2,5,1,0
367,DF,Japan,25-325,1997,3,9,5,4,4,1,3,4,75,1,1,0,1,4,13,16,0
368,MF,Spain,30-344,1992,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
369,FW,Croatia,25-218,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
370,MF,Poland,24-348,1998,2.4,5,3,1,3,1,2,4,50,2,1,0,1,5,10,6,0
371,FW,Poland,27-170,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
372,FW,Senegal,23-296,1999,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
373,FW,Ghana,22-138,2000,2.7,5,4,3,0,2,1,2,50,1,4,0,4,1,6,0,0
374,FW,Korea Republic,28-171,1994,0.6,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0
375,DF,Korea Republic,30-321,1992,1,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
376,DF,Australia,24-177,1998,4,8,2,5,3,0,4,7,57.1,3,9,7,2,7,15,16,1
377,DF,England,32-204,1990,2.6,3,1,2,1,0,3,5,60,2,2,0,2,3,6,3,0
378,FW,France,23-363,1998,6.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
379,FW,Argentina,25-118,1997,2.7,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
380,GK,Ghana,26-019,1996,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
381,DF,Belgium,27-247,1995,1.8,6,3,4,2,0,4,4,100,0,4,3,1,0,6,5,0
382,MF,Argentina,28-172,1994,2.5,10,4,4,6,0,3,4,75,1,0,0,0,3,13,4,0
383,FW,Belgium,28-014,1994,1.1,1,1,0,1,0,1,1,100,0,1,0,1,0,1,0,0
384,MF,Korea Republic,30-130,1992,2.3,5,2,1,2,2,1,8,12.5,7,3,0,3,3,8,2,0
